_id,coflUid,colour,created_at,currentOwner.playerUuid,currentOwner.profileUuid,enchantments.angler,enchantments.blast_protection,enchantments.counter_strike,enchantments.ferocious_mana,enchantments.fire_protection,enchantments.growth,enchantments.hardened_mana,enchantments.mana_vampire,enchantments.projectile_protection,enchantments.protection,enchantments.reflection,enchantments.rejuvenate,enchantments.respite,enchantments.strong_mana,enchantments.thorns,enchantments.true_protection,enchantments.ultimate_bank,enchantments.ultimate_bobbin_time,enchantments.ultimate_last_stand,enchantments.ultimate_legion,enchantments.ultimate_no_pain_no_gain,enchantments.ultimate_wisdom,extraAttributes.anvil_uses,extraAttributes.artOfPeaceApplied,extraAttributes.bossId,extraAttributes.donated_museum,extraAttributes.dungeon_item,extraAttributes.dungeon_item_level,extraAttributes.dye_item,extraAttributes.gems.DEFENSIVE_0,extraAttributes.gems.DEFENSIVE_0.quality,extraAttributes.gems.DEFENSIVE_0.uuid,extraAttributes.gems.DEFENSIVE_0_gem,extraAttributes.gems.unlocked_slots,extraAttributes.hotPotatoBonus,extraAttributes.hot_potato_count,extraAttributes.originTag,extraAttributes.rarity_upgrades,extraAttributes.runes.ENCHANT,extraAttributes.runes.GRAND_SEARING,extraAttributes.spawnedFor,extraAttributes.upgrade_level,itemId,lastChecked,location,previousOwners,processed,rarity,reforge,start,timestamp
0bc931d7-98b0-43af-a3f5-0adacfce429b,0adacfce429b,10511680,Sun Jun 27 01:35:00 UTC 2021,7faef89efca74aa898d4954413c42b9e,3153247f384948e3a989b2dc3e322bf3,,,,,,5,,,,5,,,,,,,,,,,,,,,a0a65945-822a-4099-82d8-4a73cbab958f,,,5,,,,,,,,,BOSS_DROP,,,,5a770f2a-4e59-44da-823d-13f25836af17,,OLD_DRAGON_CHESTPLATE,Wed Dec 28 02:18:22 UTC 2022,backpack-3,"[{'end': {'$date': '2022-04-29T15:11:02.312Z'}, 'owner': {'playerUuid': '45e07fc9a2eb4e5d8125d7f8de000a70', 'profileUuid': '45e07fc9a2eb4e5d8125d7f8de000a70'}, 'start': {'$date': '2022-03-03T14:54:18.689Z'}}]",TRUE,LEGENDARY,titanic,Fri Apr 29 15:11:02 UTC 2022,
94bb7eeb-ffc6-4da2-aebb-e1ffd12d01cc,e1ffd12d01cc,10511680,Sat May 22 10:06:00 UTC 2021,ecfda7eea4ce4e4186f4f9e51f8d4169,16eeb917e9e841fd95f8b98f8a574af3,,,,,,5,,,,5,,5,,,3,,,,,,,,,,6604d171-b8b7-4379-b6ca-24952a34ce5b,,,5,,,,,,,,10,BOSS_DROP,,,,12cb2081-60c1-4f8a-b2d1-5224a4839621,,OLD_DRAGON_CHESTPLATE,Thu Dec 29 22:08:21 UTC 2022,wardrobe_contents,[],TRUE,LEGENDARY,giant,Thu Mar 03 11:37:13 UTC 2022,
f0a3c85d-c571-4636-aecf-1624a5edeaf0,1624a5edeaf0,10511680,Sun Aug 29 11:56:00 UTC 2021,083f216d2e7c43f8895dce01ca9a3b2f,083f216d2e7c43f8895dce01ca9a3b2f,,,,,,5,,,,5,,,,,,,,,,,,,,,01bbf703-9b3b-40bd-abcf-163626f83cce,,,5,,,,,,,,10,BOSS_DROP,,,,88a9ca7d-55f9-465d-94d0-0127e80ceb8e,,OLD_DRAGON_CHESTPLATE,Mon Jan 02 18:59:31 UTC 2023,ender_chest_contents,"[{'start': {'$date': '2022-03-14T00:11:12.247Z'}, 'end': {'$date': '2022-09-10T01:48:33.75Z'}, 'owner': {'playerUuid': '33a2a78b0f9e4322aeef3b0ec39725bd', 'profileUuid': '33a2a78b0f9e4322aeef3b0ec39725bd'}}]",TRUE,LEGENDARY,giant,Sat Sep 10 01:48:33 UTC 2022,
f0cf0b90-17ca-456c-a081-4118ae9e62c7,4118ae9e62c7,10511680,Fri Dec 11 22:34:00 UTC 2020,2287b913ffca4f52912a60d0fbbe5642,b6873cdbd798409faff8ef9d3869e819,,,,,,5,,,,5,,,,,3,,,,,,,,,,f021e0ae-1315-4388-99f2-53f0af4ae2d9,,,,,,,,,,,,BOSS_DROP,,,,8420e65e-7747-4fb7-a334-9b94971ed147,1,OLD_DRAGON_CHESTPLATE,Thu Jan 05 09:24:22 UTC 2023,wardrobe_contents,[],,LEGENDARY,fierce,Fri Mar 11 09:06:11 UTC 2022,
25daba54-e2ad-477e-b15e-91303b852a1e,91303b852a1e,10511680,Sat Jan 11 06:22:00 UTC 2020,0f015214652e4302b81bb8f9dd751de5,0f015214652e4302b81bb8f9dd751de5,,,,,,5,,,,5,,,,,3,,5,,,,,,12,,e7b3eab8-9e74-4e7d-8d50-46930e7920c0,,,,,,,,,,DEFENSE=20;HEALTH=40;,10,BOSS_DROP,,,,3ef24c3f-0428-4af1-84fa-2a1115b2be53,,OLD_DRAGON_CHESTPLATE,Fri Jan 06 14:46:11 UTC 2023,inv_armor,[],,LEGENDARY,fierce,Sun Mar 13 18:02:15 UTC 2022,
1d47e821-c7e7-4215-9717-cd071c98a4ae,cd071c98a4ae,10511680,Sat Aug 29 13:00:00 UTC 2020,d3c87a39a28340129de8fcb429387488,8996d0f192d14b678ba21bb81e0f3264,,,,,,5,,,,5,,,,,,,,,,,2,,4,,,,,,,,,,,,,2,CRAFTING_GRID_COLLECT,,,,,,OLD_DRAGON_CHESTPLATE,Fri Jan 06 15:58:34 UTC 2023,inv_armor,[],TRUE,LEGENDARY,pure,Thu Mar 03 11:16:13 UTC 2022,
d8527399-2538-4bad-a64c-a8a9830c84ac,a8a9830c84ac,10511680,Mon Apr 26 19:14:00 UTC 2021,1e231b945dd04c54a742fc3afca712d7,b05beaaa0e9149b98fb303a22bb74b32,,,,,,5,,,,5,,5,,,,1,,,,,,,,,3004d516-d347-4839-b2a0-05799599d1bc,,,5,,,,,,,,10,BOSS_DROP,,,,a98ea105-a664-4712-944d-2fc0238ab473,,OLD_DRAGON_CHESTPLATE,Fri Jan 06 23:59:21 UTC 2023,wardrobe_contents,"[{'owner': {'profileUuid': 'b05beaaa0e9149b98fb303a22bb74b32', 'playerUuid': '1b773e75e7104d018e1cc5514a265448'}, 'start': {'$date': '2022-03-13T04:17:14.693Z'}, 'end': {'$date': '2022-05-26T19:00:32.297Z'}}]",TRUE,LEGENDARY,giant,Thu May 26 19:00:32 UTC 2022,
1a272768-62d3-41fd-853e-4fd66512d84c,4fd66512d84c,10511680,Sun Apr 04 01:14:00 UTC 2021,09e945f2aee144babff8e0cd20989f05,93bff0b9bf1f4e478963de2c1d268e48,,,,,,5,,,,5,,,,,,,,,,,,,,,,,,5,,,,,,,,10,CRAFTING_GRID_COLLECT,,,,,,OLD_DRAGON_CHESTPLATE,Sat Jan 07 01:52:18 UTC 2023,backpack-1,[],TRUE,LEGENDARY,heavy,Mon Mar 21 12:56:18 UTC 2022,
068b69e2-78fe-4319-bcb9-9920adc40ebc,9920adc40ebc,10511680,Wed Nov 04 09:59:00 UTC 2020,46a09023bb4749c59277e0b8645577c0,10431970fe4140c1a76afb7588ed7a3b,,,,,,5,,,,5,,,,,3,,,,,,,,1,,,1,,,,,,,,,,,CRAFTING_GRID_COLLECT,,,,,,OLD_DRAGON_CHESTPLATE,Sat Jan 07 03:23:27 UTC 2023,backpack-1,[],,LEGENDARY,heavy,Fri Mar 11 19:15:11 UTC 2022,
269e3d5a-a258-4ebf-91ed-5664b3b1a242,5664b3b1a242,10511680,Thu May 20 13:20:00 UTC 2021,ed519ca994164e0a88e24f7802d72f17,9c4cd4430de44208a6962c52c4f931ce,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,CRAFTING_GRID_SHIFT,,,,,,OLD_DRAGON_CHESTPLATE,Sat Jan 07 10:36:47 UTC 2023,wardrobe_contents,[],TRUE,LEGENDARY,,Fri Mar 11 23:10:13 UTC 2022,
